name,precision,size[y,x]
layers.13.attention.norm_q.weight,BF16,256
layers.13.attention.o.weight,F8_E4M3,4608x4608
layers.13.attention.o.weight_scale,F32,4608
layers.13.attention.qkv.weight,F8_E4M3,13824x4608
layers.13.attention.qkv.weight_scale,F32,13824
layers.13.attention_norm1.weight,BF16,4608
layers.13.attention_norm2.weight,BF16,4608
layers.13.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.13.feed_forward.w1.weight_scale,F32,12288
layers.13.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.13.feed_forward.w2.weight_scale,F32,4608
layers.13.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.13.feed_forward.w3.weight_scale,F32,12288
layers.13.ffn_norm1.weight,BF16,4608
layers.13.ffn_norm2.weight,BF16,4608
layers.14.adaln_modulation.bias,BF16,18432
layers.14.adaln_modulation.weight,F8_E4M3,18432x512
layers.14.adaln_modulation.weight_scale,F32,18432
layers.14.attention.norm_k.weight,BF16,256
layers.14.attention.norm_q.weight,BF16,256
layers.14.attention.o.weight,F8_E4M3,4608x4608
layers.14.attention.o.weight_scale,F32,4608
layers.14.attention.qkv.weight,F8_E4M3,13824x4608
layers.14.attention.qkv.weight_scale,F32,13824
layers.14.attention_norm1.weight,BF16,4608
layers.14.attention_norm2.weight,BF16,4608
layers.14.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.14.feed_forward.w1.weight_scale,F32,12288
layers.14.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.14.feed_forward.w2.weight_scale,F32,4608
layers.14.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.14.feed_forward.w3.weight_scale,F32,12288
layers.14.ffn_norm1.weight,BF16,4608
layers.14.ffn_norm2.weight,BF16,4608
layers.15.adaln_modulation.bias,BF16,18432
layers.15.adaln_modulation.weight,F8_E4M3,18432x512
layers.15.adaln_modulation.weight_scale,F32,18432
layers.15.attention.norm_k.weight,BF16,256
layers.15.attention.norm_q.weight,BF16,256
layers.15.attention.o.weight,F8_E4M3,4608x4608
layers.15.attention.o.weight_scale,F32,4608
layers.15.attention.qkv.weight,F8_E4M3,13824x4608
layers.15.attention.qkv.weight_scale,F32,13824
layers.15.attention_norm1.weight,BF16,4608
layers.15.attention_norm2.weight,BF16,4608
layers.15.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.15.feed_forward.w1.weight_scale,F32,12288
layers.15.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.15.feed_forward.w2.weight_scale,F32,4608
layers.15.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.15.feed_forward.w3.weight_scale,F32,12288
layers.15.ffn_norm1.weight,BF16,4608
layers.15.ffn_norm2.weight,BF16,4608
layers.16.adaln_modulation.bias,BF16,18432
layers.16.adaln_modulation.weight,F8_E4M3,18432x512
layers.16.adaln_modulation.weight_scale,F32,18432
layers.16.attention.norm_k.weight,BF16,256
layers.16.attention.norm_q.weight,BF16,256
layers.16.attention.o.weight,F8_E4M3,4608x4608
layers.16.attention.o.weight_scale,F32,4608
layers.16.attention.qkv.weight,F8_E4M3,13824x4608
layers.16.attention.qkv.weight_scale,F32,13824
layers.16.attention_norm1.weight,BF16,4608
layers.16.attention_norm2.weight,BF16,4608
layers.16.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.16.feed_forward.w1.weight_scale,F32,12288
layers.16.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.16.feed_forward.w2.weight_scale,F32,4608
layers.16.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.16.feed_forward.w3.weight_scale,F32,12288
layers.16.ffn_norm1.weight,BF16,4608
layers.16.ffn_norm2.weight,BF16,4608
layers.17.adaln_modulation.bias,BF16,18432
layers.17.adaln_modulation.weight,F8_E4M3,18432x512
layers.17.adaln_modulation.weight_scale,F32,18432
layers.17.attention.norm_k.weight,BF16,256
layers.17.attention.norm_q.weight,BF16,256
layers.17.attention.o.weight,F8_E4M3,4608x4608
layers.17.attention.o.weight_scale,F32,4608
layers.17.attention.qkv.weight,F8_E4M3,13824x4608
layers.17.attention.qkv.weight_scale,F32,13824
layers.17.attention_norm1.weight,BF16,4608
layers.17.attention_norm2.weight,BF16,4608
layers.17.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.17.feed_forward.w1.weight_scale,F32,12288
layers.17.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.17.feed_forward.w2.weight_scale,F32,4608
layers.17.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.17.feed_forward.w3.weight_scale,F32,12288
layers.17.ffn_norm1.weight,BF16,4608
layers.17.ffn_norm2.weight,BF16,4608
layers.18.adaln_modulation.bias,BF16,18432
layers.18.adaln_modulation.weight,F8_E4M3,18432x512
layers.18.adaln_modulation.weight_scale,F32,18432
layers.18.attention.norm_k.weight,BF16,256
layers.18.attention.norm_q.weight,BF16,256
layers.18.attention.o.weight,F8_E4M3,4608x4608
layers.18.attention.o.weight_scale,F32,4608
layers.18.attention.qkv.weight,F8_E4M3,13824x4608
layers.18.attention.qkv.weight_scale,F32,13824
layers.18.attention_norm1.weight,BF16,4608
layers.18.attention_norm2.weight,BF16,4608
layers.18.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.18.feed_forward.w1.weight_scale,F32,12288
layers.18.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.18.feed_forward.w2.weight_scale,F32,4608
layers.18.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.18.feed_forward.w3.weight_scale,F32,12288
layers.18.ffn_norm1.weight,BF16,4608
layers.18.ffn_norm2.weight,BF16,4608
layers.19.adaln_modulation.bias,BF16,18432
layers.19.adaln_modulation.weight,F8_E4M3,18432x512
layers.19.adaln_modulation.weight_scale,F32,18432
layers.19.attention.norm_k.weight,BF16,256
layers.19.attention.norm_q.weight,BF16,256
layers.19.attention.o.weight,F8_E4M3,4608x4608
layers.19.attention.o.weight_scale,F32,4608
layers.19.attention.qkv.weight,F8_E4M3,13824x4608
layers.19.attention.qkv.weight_scale,F32,13824
layers.19.attention_norm1.weight,BF16,4608
layers.19.attention_norm2.weight,BF16,4608
layers.19.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.19.feed_forward.w1.weight_scale,F32,12288
layers.19.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.19.feed_forward.w2.weight_scale,F32,4608
layers.19.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.19.feed_forward.w3.weight_scale,F32,12288
layers.19.ffn_norm1.weight,BF16,4608
layers.19.ffn_norm2.weight,BF16,4608
layers.2.adaln_modulation.bias,BF16,18432
layers.2.adaln_modulation.weight,F8_E4M3,18432x512
layers.2.adaln_modulation.weight_scale,F32,18432
layers.2.attention.norm_k.weight,BF16,256
layers.2.attention.norm_q.weight,BF16,256
layers.2.attention.o.weight,F8_E4M3,4608x4608
layers.2.attention.o.weight_scale,F32,4608
layers.2.attention.qkv.weight,F8_E4M3,13824x4608
layers.2.attention.qkv.weight_scale,F32,13824
layers.2.attention_norm1.weight,BF16,4608
layers.2.attention_norm2.weight,BF16,4608
layers.2.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.2.feed_forward.w1.weight_scale,F32,12288
layers.2.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.2.feed_forward.w2.weight_scale,F32,4608
layers.2.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.2.feed_forward.w3.weight_scale,F32,12288
layers.2.ffn_norm1.weight,BF16,4608
layers.2.ffn_norm2.weight,BF16,4608
layers.20.adaln_modulation.bias,BF16,18432
layers.20.adaln_modulation.weight,F8_E4M3,18432x512
layers.20.adaln_modulation.weight_scale,F32,18432
layers.20.attention.norm_k.weight,BF16,256
layers.20.attention.norm_q.weight,BF16,256
layers.20.attention.o.weight,F8_E4M3,4608x4608
layers.20.attention.o.weight_scale,F32,4608
layers.20.attention.qkv.weight,F8_E4M3,13824x4608
