name,precision,"size[y,x]"
transformer_blocks.0.attn.add_q_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.0.attn.add_v_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.0.attn.norm_added_k.weight,BF16,[128]
transformer_blocks.0.attn.norm_added_q.weight,BF16,[128]
transformer_blocks.0.attn.norm_k.weight,BF16,[128]
transformer_blocks.0.attn.norm_q.weight,BF16,[128]
transformer_blocks.0.attn.to_add_out.weight,BF16,"[3072, 3072]"
transformer_blocks.0.attn.to_k.weight,BF16,"[3072, 3072]"
transformer_blocks.0.attn.to_out.0.weight,BF16,"[3072, 3072]"
transformer_blocks.0.attn.to_q.weight,BF16,"[3072, 3072]"
transformer_blocks.0.attn.to_v.weight,BF16,"[3072, 3072]"
transformer_blocks.0.ff.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.0.ff.linear_out.weight,BF16,"[3072, 9216]"
transformer_blocks.0.ff_context.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.0.ff_context.linear_out.weight,BF16,"[3072, 9216]"
transformer_blocks.1.attn.add_k_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.1.attn.add_q_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.1.attn.add_v_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.1.attn.norm_added_k.weight,BF16,[128]
transformer_blocks.1.attn.norm_added_q.weight,BF16,[128]
transformer_blocks.1.attn.norm_k.weight,BF16,[128]
transformer_blocks.1.attn.norm_q.weight,BF16,[128]
transformer_blocks.1.attn.to_add_out.weight,BF16,"[3072, 3072]"
transformer_blocks.1.attn.to_k.weight,BF16,"[3072, 3072]"
transformer_blocks.1.attn.to_out.0.weight,BF16,"[3072, 3072]"
transformer_blocks.1.attn.to_q.weight,BF16,"[3072, 3072]"
transformer_blocks.1.attn.to_v.weight,BF16,"[3072, 3072]"
transformer_blocks.1.ff.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.1.ff.linear_out.weight,BF16,"[3072, 9216]"
transformer_blocks.1.ff_context.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.1.ff_context.linear_out.weight,BF16,"[3072, 9216]"
transformer_blocks.2.attn.add_k_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.2.attn.add_q_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.2.attn.add_v_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.2.attn.norm_added_k.weight,BF16,[128]
transformer_blocks.2.attn.norm_added_q.weight,BF16,[128]
transformer_blocks.2.attn.norm_k.weight,BF16,[128]
transformer_blocks.2.attn.norm_q.weight,BF16,[128]
transformer_blocks.2.attn.to_add_out.weight,BF16,"[3072, 3072]"
transformer_blocks.2.attn.to_k.weight,BF16,"[3072, 3072]"
transformer_blocks.2.attn.to_out.0.weight,BF16,"[3072, 3072]"
