name,precision,"size[y,x]"
transformer_blocks.8.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.8.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.8.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.8.norm1.weight,F32,[6144]
transformer_blocks.8.norm2.weight,F32,[6144]
transformer_blocks.8.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.9.attn.norm_k.weight,F32,[128]
transformer_blocks.9.attn.norm_q.weight,F32,[128]
transformer_blocks.9.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.9.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.9.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.9.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.9.norm1.weight,F32,[6144]
transformer_blocks.9.norm2.weight,F32,[6144]
transformer_blocks.9.scale_shift_table,F32,"[6, 6144]"
txt_in.linear_1.bias,F32,[6144]
txt_in.linear_1.weight,F32,"[6144, 2560]"
txt_in.linear_2.bias,F32,[6144]
txt_in.linear_2.weight,F32,"[6144, 6144]"
txt_in.norm.weight,F32,[2560]
transformer_blocks.10.attn.norm_k.weight,F32,[128]
transformer_blocks.10.attn.norm_q.weight,F32,[128]
transformer_blocks.10.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.10.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.10.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.10.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.10.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.10.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.10.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.10.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.10.norm1.weight,F32,[6144]
transformer_blocks.10.norm2.weight,F32,[6144]
transformer_blocks.10.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.11.attn.norm_k.weight,F32,[128]
transformer_blocks.11.attn.norm_q.weight,F32,[128]
transformer_blocks.11.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.11.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.11.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.11.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.11.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.11.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.11.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.11.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.11.norm1.weight,F32,[6144]
transformer_blocks.11.norm2.weight,F32,[6144]
transformer_blocks.11.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.12.attn.norm_k.weight,F32,[128]
transformer_blocks.12.attn.norm_q.weight,F32,[128]
